product_name,advertiser_name,image,sku,description,price,currency,url,clicks,commissions,orders,items_sold,active_links,order_conversion_rate,items_sold_conversion_rate
"Okko SoundBoost Portable Bluetooth Speaker, Color-Changing Wireless Speaker with 5W Sound Output ...",Walmart (US),https://product-images-cdn.liketoknow.it/L.VvpSfyzlkkc1RyaKTrBEhRuA6ipCLUx9PuppB_SqcBOIVsH.KOdB54UZpQiFgHOAMok4.H4rFtVOB0nl1xZpC5n0gy7mg0FAqNXukKjFyS6TBSjT.3ePz3liIpNSrrMzZmn4WF1tFN5gu269QULFuotlkPDY59clcoXB7RwbYgP2CCWb7o0wBrHC32S7aRmt0CmivWW1xDqqGQPmU8u2Eu.VJt17pXvy1acvW6nEJSv1kjoE.rUBr0ZqbCvSHNnE8ssp5hWRkS_a3DywHOafx9vcfAb6tm3KbqhzPsqB9E.F.J1_jv0Gc8Sny_abElzrZ8ic0WJ3IcapT5c5IJiwsZKplaw.NKYO2C2uLKlGH0HfR5a6R4ZpVzqUrxt3ppoWjW2Y2YwA--?v=2,13136813620,"Buy Okko SoundBoost Portable Bluetooth Speaker, Color-Changing Wireless Speaker with 5W Sound Output and LED Display, Black at Walmart.com",14.99,USD,https://www.walmart.com/ip/Okko-SoundBoost-Speaker/13136813620?clickid=QtmTEk1a6xycR1dV9E2b7V3-UkpyhR3x%3Azg4RE0&irgwc=1&sourceid=imp_QtmTEk1a6xycR1dV9E2b7V3-UkpyhR3x%3Azg4RE0&veh=aff&wmlspartner=imp_1390754&affiliates_ad_id=565706&campaign_id=9383&sharedid=clrjpybqycgzn0887dsi7rbcd,1,0.00,0,0,0,0.000000,0.000000
Women's High Rise Wide Leg Jean | Women's Bottoms | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/yvm0SBtbkTYf0oJDDIsDz9U43mmHp2XA_o5nIhXHP5UA8WX32w3F2uLpcIneShSORAlR1KNnEjD23ckoAJlSbAkdYNTcrgaD76NOECaLVgpHUw.rprXB5709N80Bl5x1p1qU7_dwwxLuFJA.HxO6i0O_Ny3daRShDdlEVt.qL_I7xt62AYub?v=2,,"Our classic high rise wide leg jeans in a black wash with a clean hem. This fit features a 10.5” high rise, is relaxed at the waist and hips, and eases into a wide, full-length leg shape. This jean is made from our super light drapey denim fabric, which features a super soft lightweight rigid denim.",90.00,USD,https://www.abercrombie.com/shop/us/p/high-rise-wide-leg-jean-58860880?originalStore=wd&categoryId=12261&faceout=life&seq=01&pagefm=navigation-grid&prodvm=navigation-grid,81,0.00,0,0,0,0.000000,0.000000
Amazon Essentials Women's Active FormFlex Buttery Soft Light Support V-Neck Sports Bra with Contr...,Amazon (US),https://product-images-cdn.liketoknow.it/csmIOEdSoey7rNF6tGLYpsjGoMCmNzgXBqUKuZKDuoLdYSW_iLoxtK3Bk73FrG8xaHtFfyXxLSmQ2mnofvdsHEJDfvizTJ8q97uiTRDaLkhovass1tslQJX1?v=2,,"Amazon.com: Amazon Essentials Women's Active FormFlex Buttery Soft Light Support V-Neck Sports Bra with Contrast Trim, Black/White, Small : Clothing, Shoes & Jewelry",19.90,USD,https://www.amazon.com/Amazon-Essentials-FormFlex-Buttery-Contrast/dp/B0DXK5LRTZ?ref_=ast_sto_dp&th=1&psc=1,12,0.00,0,0,0,0.000000,0.000000
VICI,VICI,https://product-images-cdn.liketoknow.it/qOWvixslvk3dd8fbxen6gJX.WvX3kANz.O7NPJae117kRVWvDo9qxcpRSmumtlJCutAlGuxskiQwBeZvlljunAcsAYeuG6JQlDzSFWZQyN7GUG3wRCEzQkuW1HFUzzoHsIQV_3zQkzpOfpr4li61yBVIxFer1WmcyWJXM.Yc24k.tfd_?v=2,,"With a silhouette this dreamy and details this thoughtful, this Mekia Printed Smocked Maxi Dress floats through your day in lightweight crepe satin. Its smocked bodice hugging you just right while the sweetheart neckline adds a flirty, feminine touch. Partial front loop buttons bring subtle charm, and bishop sleeves wi",78.00,USD,https://www.vicicollection.com/collections/new-dresses/products/mekia-printed-smocked-maxi-dress?color=black-floral,2,0.00,0,0,0,0.000000,0.000000
THE FARRAH HI-RISE WIDE JEAN,Aritzia,https://product-images-cdn.liketoknow.it/QfGqcDn_Co2KwHvrkInTH_OD6L.NhCaCZ7jjgpPlhOO45WvJnoclAgMTipVZVDpIkyaYtl0DqgtwJLHcAGMlC9kWn9btFVa0RuYrTgrm.fIOgdLcaTEdKO.3UlVKUtFOXA_M0FagZQ--?v=2,107312,"The Denim Forum Farrah Hi-rise Wide Jean is a high-rise wide-leg jeans. Inspired by bold, adventurous '70s icons, The Farrah is Denim Forum&rsquo;s signature wide-leg jean. With a high rise and slim hip, The Farrah hugs the figure and flares gradually out from the leg, ending in a clean hem. Premium Italian 100% regenerative cotton denim only gets better with wear. So go ahead, ride a skateboard. Fight crime. But do it with big hair. This version comes in a light indigo wash.",110.00,USD,https://www.aritzia.com/us/en/product/the-farrah-hi-rise-wide-jean/109082006.html?irclickid=UEgwFD3MExyKU-QUKr12%3AShHUkCUU435Q17YSo0&sharedid=&irpid=116548&irgwc=1&utm_medium=affiliate&utm_source=LTK&utm_campaign=116548,1,0.00,0,0,0,0.000000,0.000000
High-Waisted StudioSmooth 7/8 Leggings,Old Navy (US),https://product-images-cdn.liketoknow.it/CP6jSE8VSwAD4NSISGXIQiZW0wjehjLEXxsiL662_AyEhguBfvwmd9NW9uWjk0YMhO4TXobzsurWSpsizcBem1KEPGRKgQtZKSQAUfi5q.daF8hb0rnytdgk?v=2,,elasticized waistband hidden back pocket go-dry wicks moisture breathable #662879,19.99,USD,https://oldnavy.gap.com/browse/product.do?pid=662879122&vid=1&pcid=5508&cid=5508#pdp-page-content,3,0.00,0,0,0,0.000000,0.000000
Naturium Vitamin C Complex Serum Mini - 0.5 fl oz,Target,https://product-images-cdn.liketoknow.it/xzYjxAoA3m414GYNW1KN6mLFejC3svjWU0SKRFZNmVzaXrVgA4Pih_ir.rBb5dDhGDgEc1ita1WxkyqHKxl8Dcgb77P5eSjZOZ33xx0DuMZfhn8BGYi54BEaORaMfQxXdGyXhYKztca1PYcOoLmegrACTtSK8h5BXzVLKAWnCGh2ziyT9YJL.JUsmPK9BMScIeE-?v=2,,"Read reviews and buy Naturium Vitamin C Complex Serum Mini - 0.5 fl oz at Target. Choose from contactless Same Day Delivery, Drive Up and more.",11.99,USD,https://www.target.com/p/naturium-vitamin-c-complex-serum-mini-0-5-fl-oz/-/A-88703435#lnk=sametab,1,0.00,0,0,0,0.000000,0.000000
Print Stretch Organic Cotton Jersey Long Pajamas,Nordstrom,https://product-images-cdn.liketoknow.it/vHFl6dv6yimismg4b78bEskG5rVrzE1Xx210ukvFOkFqBFfXFF2k2Ak5O3sn2soeHe7dr5YhjeK.SCe.iQD5xnM1OYYtqYycnLM3stmrdoFC3TO2Y_zzGMjPBUF1NhiWFaJtnTxeJfcBUxqdJaGU_e3ntsL1bs7gMgVtpa4EH4h3?v=2,,"Free shipping and returns on BedHead Pajamas Print Stretch Organic Cotton Jersey Long Pajamas at Nordstrom.com. <p>These stretch-jersey PJs featuring a playful print and contrast piping turn any night into a fun slumber party. Plus, soft organic cotton promises lasting comfort from lazy afternoons to bedtime bliss.</p>",80.99,USD,https://www.nordstrom.com/s/print-stretch-organic-cotton-jersey-long-pajamas/8321712?origin=wishlist-personal&color=650&size=small&width=,1,0.00,0,0,0,0.000000,0.000000
New Heights Platform Sandal (Women),Nordstrom,https://product-images-cdn.liketoknow.it/7FqEO7YWT3Ed1KjtdVDMg2C2LrrXn7_uoNU7B1JxLe1oOfRA8yZ2igQDS8Z1Qo9f4v4brrEw9MFxhq4V4uJw3lhK1H6Fp4I1CJtDzvhCqqW1hgTRKxrplIfZrpSAsHzZeIorL242trRpvZN0uGu3X9AeYsi70o.zDA7Clg--?v=2,,Free shipping and returns on UGG® New Heights Platform Sandal at Nordstrom.com. <p>A chunky molded platform sole with signature sunray tread elevates this breezy quarter strap sandal made of buttery soft suede.</p>,72.00,USD,https://www.nordstrom.com/s/new-heights-platform-sandal-women/8137208?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=250,1,0.00,0,0,0,0.000000,0.000000
Jayde Denim Flared Jumpsuit,Nordstrom,https://product-images-cdn.liketoknow.it/Z861j_iSdT5cMJJaR1R38CiUECM9WIaRHD6iGAlpe1nNYOYVVm2HPkoL565puAn87BF3pKvrpFxOj0CJH5_8BV.MwcLVFLCbtLYeY5w3zQGzEKT1Rnz5QntFh7kmCHJ4vrG34l7c9fnfw_tLhWsEXy3j0VDFgFQfjHWu8MnnckNQCJ8oKQ--?v=2,,Free shipping and returns on Free People Jayde Denim Flared Jumpsuit at Nordstrom.com. <p>Rock a modern casual-cool vibe in this stretchy denim jumpsuit designed with a versatile front zip and leg-elongating flared hems.</p>,110.60,USD,https://www.nordstrom.com/s/jayde-denim-flared-jumpsuit/7189888?origin=category-personalizedsort&breadcrumb=Home%2FSale%2FWomen&color=403,5,0.00,0,0,0,0.000000,0.000000
"2 in 1 Womens Flowy Athletic Shorts for Running,Yoga,Workout,Biker Butterfly Shorts with Pocket i...",Amazon (US),https://product-images-cdn.liketoknow.it/tqpqHQvg5fYf.yV.fuo2hET5EyH3keQm28pQ.0C9sj4u2bnP.oDXmVTA21J3gbiHltEDetMzyoKLAqe9tLVuPS9t7T0mToulQcQ9UxVe36acfTsXLZ_SonvS?v=2,,Sport Comfy Running Flowy Shorts for Women Casual Summer - Butterfly Lounge Preppy Athletic Shorts at Amazon Women’s Clothing store,16.00,USD,https://www.amazon.com/gp/aw/d/B0B2RH49BP?psc=1&ref=ppx_pop_mob_b_asin_title,1,0.00,0,0,0,0.000000,0.000000
Cotton Modal Relaxed Long Sleeve Tee,Quince,https://product-images-cdn.liketoknow.it/hmyLuU4CJsaxJ2ugMpdLzk5vIrf_ryh46PXWQVAQ2Mk9NXM5KX3QxcIkksgQ9KwCyCvL3C27QNKnDSh2pVubn0EUt5QgVVotuoltC.xxfafBX9Ym_AMcwCroz_cUJpAizT3aqSb_Y2InfYC83sWqHukrQWShOSATix32w6HWFBELh5ntIwmACXtZQy_Lu8aMw21RURSOy2lmyHT56mX5yKaBrBamqGhwdTl5cVJtuu1_DJX4ZxnWUcjSnpY-?v=2,,"We're upgrading your basics with cotton modal. This super soft and stretchy cotton blend is wrinkle-resistant with a flattering, smooth finish. It's easygoing for everyday wear, and has comfy wearability to pair with any outfit.",19.90,USD,https://www.quince.com/women/cotton-modal-relaxed-long-sleeve-tee?color=redwood-brown&gender=women&tracker=collection_page__%2Fwomen%2Fnew-arrivals__All%20Products__0,4,0.00,0,0,0,0.000000,0.000000
FURTALK Sun Hats for Women Wide Brim Beach Hat Straw Visor Ponytail Summer UV Packable Foldable B...,Amazon (US),https://product-images-cdn.liketoknow.it/drwQ97Iy5GUfmTjXCZBPs0L4jvvjdN0QEqkbAmb7v.cBPNb8Ti8afiH8rAlCwjdBpL6oUJXl71p30hii7avFMfFMM9DhIMoHz9POWdnbmUxCepzKOy_mi1xo?v=2,,FURTALK Sun Visor Hats for Women Wide Brim Straw Ponytail Summer Beach Hat UV UPF Packable Foldable Travel Khaki at Amazon Women’s Clothing store,21.99,USD,https://www.amazon.com/dp/B07NZNP3Z9/ref=sspa_dk_detail_0?pd_rd_i=B07NZNP3Z9&pd_rd_w=Ynzjl&content-id=amzn1.sym.85ceacba-39b1-4243-8f28-2e014f9512c7&pf_rd_p=85ceacba-39b1-4243-8f28-2e014f9512c7&pf_rd_r=5QJDGNZBV52RRFVM7D86&pd_rd_wg=iwQyR&pd_rd_r=2df69473-cb11-463d-a025-9e77d4bb3c05&s=apparel&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&th=1&psc=1,3,0.00,0,0,0,0.000000,0.000000
High Rise Dad Short,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/_3yK33haITxpdxA0S9MbUE9HA2L7.MlMax8CI4tXC6wmdEyL1AUGEm05.OpJZ2Rbr7C7lbE3yjqgQ.RqOerpVAqPQsSZ98RMQOIbw67vHvqqAdN.rWQ8xKFHG5wp72_5_pYa9qZJQgn2mI46zYovsW_6enXmPvVsf9rO1hJrMpf1saRVj2o-?v=2,,"High rise with a relaxed fit throughout the hip and thigh, and a 5 inch (13 cm) inseam. Vintage stretch denim in a white wash, with frayed hem.  Imported.",70.00,USD,https://www.abercrombie.com/shop/us/p/high-rise-dad-short-55096822?categoryId=12266&faceout=model&seq=11,1,0.00,0,0,0,0.000000,0.000000
YPB neoKNIT On The Go Straight Leg Pant,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/xpn0fNLWeDdYwCV6BovLEPIeY9vevAlnS1RsxZ2ovO571_Qdvct1CuG7NG97r_ievXH8IYoUx6GbUWv5pXXcOUO3DLhev.gGhATUqCCPMoHhfVaxRD9DBB2cYaLOKOrgOCOgRwDSZO9OAFebbsv9RiYPCXxNQm26Af9m8g5Mg48gMqgEX8UE?v=2,,"High rise active pants in our super soft neoKNIT active fabric. Designed with a smooth interior, our neoKNIT fabric is made from layerable sweat-wicking neoprene. Features a straight leg silhouette, tall flattering stretch waistband, flattering seaming details and side zip pockets.",60.00,USD,https://www.abercrombie.com/shop/us/p/ypb-neoknit-on-the-go-straight-leg-pant-61224821?seq=02&faceout=model1&prodvm=recommendations-Adults_Similar_Items_PDP-63669&dataText=recommendations-swatch&dataAction=click,2,0.00,0,0,0,0.000000,0.000000
Red Velvet Silk Haley Dress,Tuckernuck (US),https://product-images-cdn.liketoknow.it/Tn_NwI.Br9kjV5s31uZrhiQMezQ7JL39YMy2tro9ShqCTzFWfZrP.23TXfGqFOVdXeChwJxgZwWb4691fNNYJ9329gE.9haE4EeOIr_lbW0GtOv.Ut1czLMhVvWFXmkM2jMBvgkNlE9zQLU9omiVCnc35Ic.l0z.H1E0rwG516MKV2IcBr8-?v=2,,"A chic velvet mini for all of your events

Crafted in sumptuous red velvet, the Haley Dress drapes boasts a flattering fit-and-flare silhouette that instantly elevates your look. Perfect for holiday soirées or elegant evenings out, its sleek silhouette pairs effortlessly with strappy heels and statement earrings for a look that turns heads.
 
Our Favorite Details:

Back zip closure
Fit and flare silhouette
Lined


Material: 80% Viscose, 20% Silk (outer), 97% Polyester, 3% Spandex (lining)
Care: Dry clean",248.00,USD,https://tnuck.com/products/red-velvet-silk-haley-dress?variant=47442382880990,2,0.00,0,0,0,0.000000,0.000000
RUMIA Fall Outfits for Women 2025 Vacation Matching Sweater Lounge Sets (S-2XL),Amazon (US),https://product-images-cdn.liketoknow.it/rf16k_Ih5gh1kGdCXbz4eE8ZJOdBdw42TuZA6krk2JTSmvKhNBwINwrnMkpi9VJTZhHxiE1Io70OKAWWinNuqLmRWKC0dbwMjGc5j2p.nSz2juqC?v=2,,"Amazon.com: RUMIA Lounge Sets for Women Two Piece Sweater Sets Fasion Fall Fashion Airport Outfits Green M : Clothing, Shoes & Jewelry",32.99,USD,https://www.amazon.com/dp/B0FGX91M2F?ref=tsm_1_s_fshn_ig_f_UGC_11042025&ascsubtag=srctok-408979d11c53a3f5&btn_ref=srctok-408979d11c53a3f5&th=1&psc=1,4,0.00,0,0,0,0.000000,0.000000
"ALLCELE Girls Robot Toy, Rechargeable RC Robot for Kids, Remote Control Toy with Music and LED Ey...",Amazon (US),https://product-images-cdn.liketoknow.it/Zqtv4iqlEc5ZMTTL1EKhSQldCtcXbqjQIaP7cj439aVrdWyaVjOSyWHYZuwIOZi37d7otlaa33i9d.hcXpjwG2fmTZu2LTmgcZGgrNPuPBA.bIIvqczdeVAG?v=2,,"Amazon.com: ALLCELE Girls Robot Toy, Rechargeable RC Robot for Kids, Remote Control Toy with Music and LED Eyes, Gift for Children Age 3 Years and Up - Pink : Toys & Games",18.00,USD,https://www.amazon.com/dp/B098WQTV3Y?th=1,2,0.00,0,0,0,0.000000,0.000000
"COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz 100ml, Hydrating Serum for Face with Sna...",Amazon (US),https://product-images-cdn.liketoknow.it/iBvsovfvnOgmzklQ4ZZPHWOTNNsZyr.Ivl021vrljeVJ.ltGWUohy9j1RODucbFPaBHjLP5R.IVirtXntczjE6KYGHlF1raG8XdN2IRF1aZ9h.Y.zHYg?v=2,,"Amazon.com: COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz 100ml, Hydrating Serum for Face with Snail Secretion Filtrate for Dull Skin & Fine Lines, Korean Skin Care",17.99,USD,https://www.amazon.com/gp/product/B00PBX3L7K,1,0.00,0,0,0,0.000000,0.000000
Outdoor Cap -Adult Mountain Dad Hat-Unstructured Soft Cotton,Amazon (US),https://product-images-cdn.liketoknow.it/f3KGB1k_5ZF8nARu_zWSKy.hlAy7NNJxTk1Iveoi4FV2w2mkL5ONQHU3SPfXmFXnJmgJMpZCVGUg1KAk61dPRb0UAiKOWPOA_zHrOH9uMG1NRg73hrD0rDoY?v=2,,"Amazon.com: Outdoor Cap Mountain Embroidered Dad Hat â€“ Adjustable Soft Cotton Polo Style Unstructured Baseball Cap for Men & Women, Charcoal : Clothing, Shoes & Jewelry",13.86,USD,https://www.amazon.com/Outdoor-Cap-Mountain-Hat-Unstructured-Charcoal/dp/B077KD6D9Z/ref=sr_1_16?th=1,5,0.00,0,0,0,0.000000,0.000000
"Divi Volumizing Shampoo & Conditioner | Volumize Fine, Thin Hair",Divi Official LLC,https://product-images-cdn.liketoknow.it/FRa.YfwtSmJmvK7gGFg75R90fZs2EZ.X3DWJU5Chz7MU2NSf1UzaYSVVrypGTjj2ciQ27gKd7nSkrS4YgTwqOYH9p0j.jA.eixNagxmlZ4nWW7H6E9XxlwIFXz3wIqCwo0KIBGYjwBVZtfmpdd6WS6wTnpCHZg--?v=2,,"Elevate your hair routine with this gentle yet powerful duo. Our lightweight, Volumizing Shampoo &amp; Conditioner nourish, balance, cleanse and protect the scalp and hair, without weighing hair down. The result? Silky, soft, light-as-air hair with added lift, volume and bounce. Includes:  Volumizing Shampoo (12 fl oz)",4.20,USD,https://www.diviofficial.com/collections/all-products/products/volumizing-shampoo-conditioner?utm_source=ShopMy&utm_medium=affiliate&utm_campaign=Nicki%20Entenmann&utm_content=Hair%20Care%20-%20Divi&utm_referrer=shopmy.us&smsclickid=d0868ff5-b50a-465b-be31-726fa1abd330,1,0.00,0,0,0,0.000000,0.000000
Nothing But Sweet Coral Color Block Cutout Mini Dress,Lulus,https://product-images-cdn.liketoknow.it/X9lzkdgTr3XO6aTVK6rCIXks2wmhiXfkuBOIkbL9mIHZlDpXF2cxDMixk0qQyoQpMsmt_uGTq8XKyiuXstgGCTXMCfuD.a7Z93iFCD34AkbWSMgxqrw1EuHXgtw-?v=2,,"Your day will be especially cute when you head out in the Lulus Nothing But Sweet Coral Color Block Cutout Mini Dress! Lightweight cotton-blend fabric shapes this chic little dress with a flattering V-neckline, princess-seamed bodice, and adjustable straps. Flirty cutouts at the sides accent the fitted waist that tops a figure-skimming, A-line skirt that finishes at a mini hem. Contrasting white trim lends a color block effect throughout. Hidden back zipper/clasp. Fit: This garment fits true to size. Length: Mid-thigh. Size medium measures 32.5"""" from adjustable straps to hem. Bust: Great for any cup size. Waist: Fitted - very fitted at natural waist. Hip: Loosely Fitted. Undergarments: May be worn with a strapless bra, adhesive bra, petals, or no bra. Fabric: Fabric has some stretch. Lined. Shell: 97% Cotton, 3% Spandex. Contrast: 97% Cotton, 3% Spandex. Lining: 100% Polyester. Hand Wash Cold. Do Not Bleach. Line Dry. Iron Low Heat. Imported. Lulus | Nothing But Sweet Coral Color Block Cutout Mini Dress | Size X-Small | 100% Polyester.",55.00,USD,https://www.lulus.com/products/nothing-but-sweet-coral-color-block-cutout-mini-dress/2315891.html,1,0.00,0,0,0,0.000000,0.000000
Women's Short Wool-Blend Coat | Women's Coats & Jackets | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/OULehX48MUxMO.TgFi7NCJqXl09yGacdL3FPZNjsfmYT.VONTmBbTp7fHns7Y6iEfWh96S_665IFv.cHaN13iul2KKWzW0PzD.DPfNLkI5J3wJ3HTs3VF0CNQt6nLT0BP13LUdxnroc3WIiJnIhPNqAlbqDkA87g?v=2,,"Our new comfortable short coat in our soft wool-blend fabric and classic-fit silhouette, featuring a front-button closure and side-entry pockets.",170.00,USD,https://www.abercrombie.com/shop/us/p/short-wool-blend-coat-60772939?seq=01,2,0.00,0,0,0,0.000000,0.000000
Holiday Time Glass 20oz Can Sipper Christmas Trees with Lid,Walmart (US),https://product-images-cdn.liketoknow.it/nQ97JYjZAQo3R4CyABBV_J_slTd5S6fG9G_wME5.RaTMkDYyMosRlOb6kEzY0jo4ni6rp9PnBKm.4CWqh5gN7H1RYkSMPWLBeRRUak0I.S64O.TUl3GoDNYM6nq.2JnA1rk7K.rJxN8v_fct8k729yziGAlkunA3Luevf7O0q6uVmDVQpJ3ngywzP3C9Lwmc03WkxfJyTNA-?v=2,,Buy Holiday Time Glass 20oz Can Sipper Christmas Trees with Lid at Walmart.com,3.96,USD,https://www.walmart.com/ip/HT-CAN-SIP-TREES/16795770743,2,0.00,0,0,0,0.000000,0.000000
"Cuisinart 13-Piece Wooden Grill Tool Set, BBQ Accessories and Grill Tools, Durable Stainless-Stee...",Amazon (US),https://product-images-cdn.liketoknow.it/ZvtRJRX.KjsHjMKqnOqDI05XXyFO2Bfzg3shRfZNlmhtXzTm06sjPk1pud0uT5FnkLbRvGMX9GjiaUdz0C6MtZMJ7Q0VgpLCe1u31dMa0vxcsOibIwV8wzIy?v=2,,"Amazon.com : Cuisinart 13-Piece Wooden Grill Tool Set, BBQ Accessories and Grill Tools, Durable Stainless-Steel Utensils with Recycled Plastic Case, Spatula, Tongs, Cleaning Brush & More, Grilling Gifts for Men : Patio, Lawn & Garden",23.99,USD,https://www.amazon.com/Cuisinart-CGS-W13-Wooden-Handle-13-Piece/dp/B00KA2Y1OY/ref=hw_25_fd_dag_gwd_1105?pf_rd_p=e438364f-e18f-4eec-960f-f60e1bb6fde3&pf_rd_r=QXE47R74QJYBC31B34WJ&sr=1-4-58b6a900-d735-49d2-affb-51f6a567d9be,1,0.00,0,0,0,0.000000,0.000000
adidas Sambae Sneaker (Women) | Nordstrom,Nordstrom,https://product-images-cdn.liketoknow.it/KHFxWyRh8G1TBKvYAjU0vvgyWlcd9pSvwdDqL0Q0_RMQl_sPRp2IBjazyEaWg6T2ohNW_5.CdEoYw2y0tQrvYe6TRaQzWkcRa_ioZElliH0RZW7RikwIgmlesyCsoFiskR_._EU8TamijK42SKz1yfQwhXLtf7MmKbIAmzVQUA4SC7GIOlMBoqZlGg4-?v=2,,"Free shipping and returns on adidas Sambae Sneaker at Nordstrom.com. <p>An elevated take on an indoor trainer, this always-original sneaker kicks things up a notch on a low platform sole molded from semitranslucent rubber. The upper still sports the extralow profile and T-toe detailing that have made the shoe a go-to favorite for decades.</p>",110.00,USD,https://www.nordstrom.com/s/adidas-sambae-sneaker-women/7479557?origin=keywordsearch-personalizedsort&breadcrumb=Home%2FAll%20Results&color=106,1,0.00,0,0,0,0.000000,0.000000
Women's Off-The-Shoulder Velvet Mini Dress | Women's Dresses & Jumpsuits | Abercrombie.com,Abercrombie & Fitch (US),https://product-images-cdn.liketoknow.it/pieChUl1lGbgSPvjEbzlfCU_aeZJlrpph5Gb44jD8bsE8Zk6EjfDx6PzRh7WpmEwj22CL248QLS5XGok03RaEcO7Hm3MmSbF_UFXdXVdu8NVfikbiLBPjvZFvBCSzk3MGABlqK9XePjROfdnNVFq1FNxv.tHdlhwVJ0Lb4CayRboBGIVzvK5?v=2,,"Our slim-fitting mini dress in our soft velvet fabric, featuring off-the-shoulder detail, an asymmetrical neckline and flattering side-ruching details.",80.00,USD,https://www.abercrombie.com/shop/us/p/off-the-shoulder-velvet-mini-dress-58660319?faceout=model&seq=02,2,0.00,0,0,0,0.000000,0.000000
Men's New Balance 530 Sneakers in Brown/Tan,StockX,https://product-images-cdn.liketoknow.it/8NMl0oTgHVvpyJZZe6XEQGygPurt4mIsKV_OI_.gdF1hj1iAPNlmEff20CHdPJn8IQvc.gHhlVgwnV1Qn1DzW51IfoXIU1focUnsMNA8mcqUGotgGDmEqyUQeBl6PGweTxTjTQE9CdsNZ3tJHZA6St1XaJeZ8PLAx5_k7J1SB6QXD8gxqINrZVsc4rQPSP2ewo0YjXRZvjw7OAuSwDHveXlvr05nbb6rvyXO68O0ZiDBYVKSpBF6uAzL1kfPp9rl2gCiZxrzUP1r2zeDZgOgM8mSvZ0k?v=2,,"The Men's New Balance 530 Sneakers in Brown/Tan is a stylish and versatile sneaker that combines comfort with a trendy aesthetic. Featuring a rich brown and tan colorway, this shoe offers a sophisticated look that easily transitions from casual to semi-formal occasions. The upper is crafted with a mix of premium materials, including suede and mesh, providing both durability and breathability for all-day wear. Designed with New Balance's signature cushioning technology, the 530 model ensures superior comfort and support for your feet. The chunky midsole not only adds to the shoe's retro-inspired silhouette but also provides excellent shock absorption for a smooth stride. With its timeless design and earthy tones, the Men's New Balance 530 Sneakers in Brown/Tan is a perfect addition to any wardrobe, effortlessly complementing a wide range of outfits. Us at StockX believe this product is great for those seeking a balance between style and comfort in their everyday footwear.",129.00,USD,https://stockx.com/buy/new-balance-530-brown-tan?country=US&currencyCode=USD&size=5,3,0.00,0,0,0,0.000000,0.000000
Mid-Rise Woven Run Shorts | Old Navy,Old Navy (US),https://product-images-cdn.liketoknow.it/CY71QjVMoC.LRPbpViv8gUZcGOHaVIuUopESCKjs4KOTYIoLN7S_.JzFuhITdsafXrWpRvAZ8sCjnaXFZ1vUNm8YuMo_UPGj1wjYA08lSVz8WwrVHHMJN23O?v=2,,Mid-Rise Woven Run Shorts | Old Navy,14.99,USD,https://oldnavy.gap.com/browse/product.do?pid=748678032&searchText=7486780320001#pdp-page-content,2,0.00,0,0,0,0.000000,0.000000
HomeWorx by Slatkin + Co. S/2 Sugared Beignets Reed Diffusers - QVC.com,QVC,https://product-images-cdn.liketoknow.it/t81l8M52U9wO8PrcuhHjlaYWgK8ZT2OPYf8jO2ddkFSvayW73JlrxdIvrcw4hbk9pGOnehAnx2cWw5JdrUINgrFApzwiq7HizSV6zEKwEHJfvInWeNfxcGSsYUIwlkE-?v=2,,Easily refresh any space in your home with the uninterrupted sensory experience of these Lavender Vanilla reed diffusers. QVC.com,29.98,USD,https://www.qvc.com/homeworx-by-slatkin-%2B-co-s2-sugared-beignets-reed-diffusers.product.H468280.html?sc=navlist,1,0.00,0,0,0,0.000000,0.000000
"Vera Bradley Women's Featherweight Lorman Sling Backpack, Cayenne, One Size",Amazon (US),https://product-images-cdn.liketoknow.it/hDMyQtXHTYCfUbnIRYF.IMUgih57AW_TZOpnFjbpr2aeYZczDiMv.teWOGH7_zFFF.7nFwgA6EAnEE1YPbdY0gsAYddUgUi_x3imkEUUyB8VgLKDZGJ.KmFp?v=2,,"Amazon.com: Vera Bradley Women's Featherweight Lorman Sling Backpack, Cayenne, One Size : Clothing, Shoes & Jewelry",39.91,USD,https://www.amazon.com/dp/B0F1CB7D7S?linkCode=spc&tag=onamznickient-20&creativeASIN=B0F1CB7D7S&asc_item-id=amzn1.shoppablemedia.v1.102eac20-d805-42ea-a2eb-aa6a0e9bdac1&ref_=aip_sf_photo_spv_ofs_d_asin&th=1,5,0.00,0,0,0,0.000000,0.000000
